CG	OMIM_ID	REF_SEQ	e_value	gene	description	disease
CG4376-PA	601282	NP_958782	2e-55	EBS1;PLEC1;PLTN	PCN; PLTN	Epidermolysis bullosa simplex, Ogna type, 131950 (3);Muscular dystrophy with epidermolysis bullosa simplex, 226670 (3)
CG4376-PB	601282	NP_958782	2e-55	EBS1;PLEC1;PLTN	PCN; PLTN	Epidermolysis bullosa simplex, Ogna type, 131950 (3);Muscular dystrophy with epidermolysis bullosa simplex, 226670 (3)
CG4376-PA	601282	NP_958783	2e-55	EBS1;PLEC1;PLTN	PCN; PLTN	Epidermolysis bullosa simplex, Ogna type, 131950 (3);Muscular dystrophy with epidermolysis bullosa simplex, 226670 (3)
CG4376-PB	601282	NP_958783	2e-55	EBS1;PLEC1;PLTN	PCN; PLTN	Epidermolysis bullosa simplex, Ogna type, 131950 (3);Muscular dystrophy with epidermolysis bullosa simplex, 226670 (3)
CG4376-PA	601282	NP_958784	2e-55	EBS1;PLEC1;PLTN	PCN; PLTN	Epidermolysis bullosa simplex, Ogna type, 131950 (3);Muscular dystrophy with epidermolysis bullosa simplex, 226670 (3)
CG4376-PA	601282	NP_958785	2e-55	EBS1;PLEC1;PLTN	PCN; PLTN	Epidermolysis bullosa simplex, Ogna type, 131950 (3);Muscular dystrophy with epidermolysis bullosa simplex, 226670 (3)
CG4376-PB	601282	NP_958785	2e-55	EBS1;PLEC1;PLTN	PCN; PLTN	Epidermolysis bullosa simplex, Ogna type, 131950 (3);Muscular dystrophy with epidermolysis bullosa simplex, 226670 (3)
CG4376-PA	601282	NP_958786	2e-55	EBS1;PLEC1;PLTN	PCN; PLTN	Epidermolysis bullosa simplex, Ogna type, 131950 (3);Muscular dystrophy with epidermolysis bullosa simplex, 226670 (3)
CG4376-PB	601282	NP_958786	2e-55	EBS1;PLEC1;PLTN	PCN; PLTN	Epidermolysis bullosa simplex, Ogna type, 131950 (3);Muscular dystrophy with epidermolysis bullosa simplex, 226670 (3)
CG1066-PA	176260	NP_000208	3e-55	AEMK;EA1;KCNA1	1; KCNA1;KV1.1;MK1, MOUSE, HOMOLOG OF	Episodic ataxia/myokymia syndrome, 160120 (3)
CG1066-PB	176260	NP_000208	3e-55	AEMK;EA1;KCNA1	1; KCNA1;KV1.1;MK1, MOUSE, HOMOLOG OF	Episodic ataxia/myokymia syndrome, 160120 (3)
CG7882-PA	138160	NP_000331	3e-55	GLUT2;SLC2A2	2; SLC2A2;GLUCOSE TRANSPORTER 2; GLUT2;GLUCOSE TRANSPORTER, LIVER/ISLET	Fanconi-Bickel syndrome, 227810 (3);{Diabetes mellitus, noninsulin-dependent} (3)
CG7882-PB	138160	NP_000331	3e-55	GLUT2;SLC2A2	2; SLC2A2;GLUCOSE TRANSPORTER 2; GLUT2;GLUCOSE TRANSPORTER, LIVER/ISLET	Fanconi-Bickel syndrome, 227810 (3);{Diabetes mellitus, noninsulin-dependent} (3)
CG6347-PA	601105	NP_000387	3e-55	CTSK		Pycnodysostosis, 265800 (3)
CG5711-PA	181031	NP_000532	3e-55	SAG	ARRESTIN;S-ARRESTIN	Oguchi disease-1, 258100 (3)
CG32134-PA	147370	NP_000866	3e-55	IGF1R		Intrauterine and postnatal growth retardation (3)
CG5670-PA	108733	NP_001001331	3e-55	ATP2B2;PMCA2	PLASMA MEMBRANE Ca(2+)-ATPase, TYPE 2; PMCA2	Deafness, autosomal recessive 12, modifier of, 601386 (3)
CG5670-PB	108733	NP_001001331	3e-55	ATP2B2;PMCA2	PLASMA MEMBRANE Ca(2+)-ATPase, TYPE 2; PMCA2	Deafness, autosomal recessive 12, modifier of, 601386 (3)
CG5670-PC	108733	NP_001001331	3e-55	ATP2B2;PMCA2	PLASMA MEMBRANE Ca(2+)-ATPase, TYPE 2; PMCA2	Deafness, autosomal recessive 12, modifier of, 601386 (3)
CG5670-PD	108733	NP_001001331	3e-55	ATP2B2;PMCA2	PLASMA MEMBRANE Ca(2+)-ATPase, TYPE 2; PMCA2	Deafness, autosomal recessive 12, modifier of, 601386 (3)
CG1379-PA	600211	NP_001015051	3e-55	AML3;CBFA1;PEBP2A1;RUNX2	AML3 GENE; AML3;CORE-BINDING FACTOR, RUNT DOMAIN, ALPHA SUBUNIT 1; CBFA1;OSF2;PEBP2-ALPHA-A	Cleidocranial dysplasia, 119600 (3);Dental anomalies, isolated (3)
CG1379-PA	600211	NP_001019801	3e-55	AML3;CBFA1;PEBP2A1;RUNX2	AML3 GENE; AML3;CORE-BINDING FACTOR, RUNT DOMAIN, ALPHA SUBUNIT 1; CBFA1;OSF2;PEBP2-ALPHA-A	Cleidocranial dysplasia, 119600 (3);Dental anomalies, isolated (3)
CG12262-PA	609576	NP_001599	3e-55	ACADL;LCAD		Acyl-CoA dehydrogenase, long chain, deficiency of, 201460 (3)
CG10175-PB	114840	NP_001798	3e-55	BSSL;CEL;CELL;MODY8	BILE SALT-DEPENDENT LIPASE; BSDL;BILE SALT-STIMULATED LIPASE; BSSL;CARBOXYL-ESTER HYDROLASE;CHOLESTEROL ESTERASE;LYSOPHOSPHOLIPASE	Maturity-onset diabetes of the young, type VIII, 609812 (3)
CG1379-PA	600211	NP_004339	3e-55	AML3;CBFA1;PEBP2A1;RUNX2	AML3 GENE; AML3;CORE-BINDING FACTOR, RUNT DOMAIN, ALPHA SUBUNIT 1; CBFA1;OSF2;PEBP2-ALPHA-A	Cleidocranial dysplasia, 119600 (3);Dental anomalies, isolated (3)
CG31673-PA	604296	NP_036335	3e-55	GRHPR;GLXR	GLXR	Hyperoxaluria, primary, type II, 260000 (3)
CG8799-PA	171060	NP_061337	3e-55	ABCB4;MDR3;PGY3	MULTIDRUG RESISTANCE 3; MDR3;P-GLYCOPROTEIN 3; PGY3	Cholestasis, familial intrahepatic, of pregnancy, 147480 (3);Cholestasis, progressive familial intrahepatic 3, 602347 (3);Gallbladder disease 1, 600803 (3)
CG10226-PA	601439	NP_064693	3e-55	ABCC9;CMD1O;SUR2	SULFONYLUREA RECEPTOR 2; SUR2	Cardiomyopathy, dilated, 1O, 608569 (3)
CG17907-PA	300427	NP_065793	3e-55	ASPGX2;AUTSX2;KIAA1260;NLGN4	KIAA1260	Mental retardation, X-linked, 300495 (3);{Asperger syndrome, susceptibility to, X-linked-2}, 300497 (3);{Autism, susceptibility to, X-linked-2}, 300495 (3)
CG17907-PA	300427	NP_851849	3e-55	ASPGX2;AUTSX2;KIAA1260;NLGN4	KIAA1260	Mental retardation, X-linked, 300495 (3);{Asperger syndrome, susceptibility to, X-linked-2}, 300497 (3);{Autism, susceptibility to, X-linked-2}, 300495 (3)
CG3879-PA	170261	NP_000535	4e-55	ABCB3;PSF2;RING11;TAP2	2;2; TAP2;ABC TRANSPORTER, MHC, 2;ANTIGEN PEPTIDE TRANSPORTER 2; APT2;ATP-BINDING CASSETTE TRANSPORTER, MAJOR HISTOCOMPATIBILITY COMPLEX,;ATP-BINDING CASSETTE, SUBFAMILY B, MEMBER 3; ABCB3;PEPTIDE SUPPLY FACTOR 2; PSF2;PEPTIDE TRANSPORTER PSF2;RING11;TRANSPORTER, ABC, MHC, 2;WEGENER-LIKE GRANULOMATOSIS	Bare lymphocyte syndrome, type I, due to TAP2 deficiency, 604571 (3);Wegener-like granulomatosis (3)
CG15534-PA	607608	NP_001007594	4e-55	NPD;SMPD1	SPHINGOMYELINASE, ACID; ASM	Niemann-Pick disease, type A, 257200 (3);Niemann-Pick disease, type B, 607616 (3)
CG12345-PA	600528	NP_001027017	4e-55	CPT1A	CPT I, LIVER;CPT IA;CPT1	CPT deficiency, hepatic, type IA, 255120 (3)
CG5261-PA	608769	NP_003468	4e-55	PDX1	PDX1;PYRUVATE DEHYDROGENASE COMPLEX, E3-BINDING PROTEIN SUBUNIT; E3BP;PYRUVATE DEHYDROGENASE COMPLEX, LIPOYL-CONTAINING COMPONENT X	Lacticacidemia due to PDX1 deficiency, 245349 (3)
CG5261-PB	608769	NP_003468	4e-55	PDX1	PDX1;PYRUVATE DEHYDROGENASE COMPLEX, E3-BINDING PROTEIN SUBUNIT; E3BP;PYRUVATE DEHYDROGENASE COMPLEX, LIPOYL-CONTAINING COMPONENT X	Lacticacidemia due to PDX1 deficiency, 245349 (3)
CG31782-PB	314995	NP_009061	4e-55	MRX89;ZNF41		Mental retardation, X-linked-89 (3)
CG31782-PB	314995	NP_700359	4e-55	MRX89;ZNF41		Mental retardation, X-linked-89 (3)
CG7223-PA	147670	NP_000199	5e-55	HHF5;INSR		Diabetes mellitus, insulin-resistant, with acanthosis nigricans, 610549 (3);Hyperinsulinemic hypoglycemia, familial, 5, 609968 (3);Leprechaunism, 246200 (3);Rabson-Mendenhall syndrome, 262190 (3)
CG7223-PB	147670	NP_000199	5e-55	HHF5;INSR		Diabetes mellitus, insulin-resistant, with acanthosis nigricans, 610549 (3);Hyperinsulinemic hypoglycemia, familial, 5, 609968 (3);Leprechaunism, 246200 (3);Rabson-Mendenhall syndrome, 262190 (3)
CG7223-PC	147670	NP_000199	5e-55	HHF5;INSR		Diabetes mellitus, insulin-resistant, with acanthosis nigricans, 610549 (3);Hyperinsulinemic hypoglycemia, familial, 5, 609968 (3);Leprechaunism, 246200 (3);Rabson-Mendenhall syndrome, 262190 (3)
CG32019-PA	600958	NP_000247	5e-55	CMH4;MYBPC3	CARDIAC MYOSIN-BINDING PROTEIN C; MYBPC	Cardiomyopathy, dilated, 115200 (3) (?);Cardiomyopathy, familial hypertrophic, 4, 115197 (3)
CG7411-PA	138492	NP_000815	5e-55	GLRB		Hyperekplexia, autosomal recessive, 149400 (3)
CG14396-PA	147370	NP_000866	5e-55	IGF1R		Intrauterine and postnatal growth retardation (3)
CG14396-PB	147370	NP_000866	5e-55	IGF1R		Intrauterine and postnatal growth retardation (3)
CG14396-PC	147370	NP_000866	5e-55	IGF1R		Intrauterine and postnatal growth retardation (3)
CG14396-PD	147370	NP_000866	5e-55	IGF1R		Intrauterine and postnatal growth retardation (3)
CG14396-PE	147370	NP_000866	5e-55	IGF1R		Intrauterine and postnatal growth retardation (3)
CG4225-PA	171050	NP_000918	5e-55	ABCB1;MDR1;PGY1	DOXORUBICIN RESISTANCE;GP170;MULTIDRUG RESISTANCE 1; MDR1;P-GLYCOPROTEIN 1; PGY1	Colchicine resistance (3)
CG5939-PC	160710	NP_002462	5e-55	ASD3;MYH6;MYHCA	MYH, CARDIAC; MYHC;MYOSIN, CARDIAC, HEAVY CHAIN, ALPHA; MYHCA	Atrial septal defect 3 (3);Cardiomyopathy, familial hypertrophic, 192600 (3)
CG5939-PD	160710	NP_002462	5e-55	ASD3;MYH6;MYHCA	MYH, CARDIAC; MYHC;MYOSIN, CARDIAC, HEAVY CHAIN, ALPHA; MYHCA	Atrial septal defect 3 (3);Cardiomyopathy, familial hypertrophic, 192600 (3)
CG12069-PA	176960	NP_002728	5e-55	PKCA;PRKCA	PKCA	Pituitary tumor, invasive (3)
CG6634-PA	601621	NP_005987	5e-55	TBX3		Ulnar-mammary syndrome, 181450 (3)
CG8908-PB	607800	NP_056472	5e-55	ABCA12;ICR2B;LI2		Ichthyosis, harlequin, 242500 (3);Ichthyosis, lamellar 2, 601277 (3)
CG7955-PA	171060	NP_061338	5e-55	ABCB4;MDR3;PGY3	MULTIDRUG RESISTANCE 3; MDR3;P-GLYCOPROTEIN 3; PGY3	Cholestasis, familial intrahepatic, of pregnancy, 147480 (3);Cholestasis, progressive familial intrahepatic 3, 602347 (3);Gallbladder disease 1, 600803 (3)
CG7955-PB	171060	NP_061338	5e-55	ABCB4;MDR3;PGY3	MULTIDRUG RESISTANCE 3; MDR3;P-GLYCOPROTEIN 3; PGY3	Cholestasis, familial intrahepatic, of pregnancy, 147480 (3);Cholestasis, progressive familial intrahepatic 3, 602347 (3);Gallbladder disease 1, 600803 (3)
CG7955-PC	171060	NP_061338	5e-55	ABCB4;MDR3;PGY3	MULTIDRUG RESISTANCE 3; MDR3;P-GLYCOPROTEIN 3; PGY3	Cholestasis, familial intrahepatic, of pregnancy, 147480 (3);Cholestasis, progressive familial intrahepatic 3, 602347 (3);Gallbladder disease 1, 600803 (3)
CG8908-PB	607800	NP_775099	5e-55	ABCA12;ICR2B;LI2		Ichthyosis, harlequin, 242500 (3);Ichthyosis, lamellar 2, 601277 (3)
CG13977-PA	605325	NP_000768	6e-55	CYP3A5;P450PCN3	P450PCN3	{Hypertension, salt-sensitive essential, susceptibility to}, 145500 (3)
CG3362-PA	606224	NP_001002010	6e-55	NT5C3;UMPH1;PSN1	NUCLEOTIDASE, 5-PRIME, CYTOSOLIC III;PYRIMIDINE 5-PRIME-NUCLEOTIDASE 1; P5N1;URIDINE 5-PRIME MONOPHOSPHATE HYDROLASE 1; UMPH1	Anemia, hemolytic, due to UMPH1 deficiency, 266120 (3)
CG4032-PA	600456	NP_001018074	6e-55	NTRK2;TRKB	TYROSINE KINASE RECEPTOR B; TRKB	Obesity, hyperphagia, and developmental delay (3)
CG4032-PA	600456	NP_006171	6e-55	NTRK2;TRKB	TYROSINE KINASE RECEPTOR B; TRKB	Obesity, hyperphagia, and developmental delay (3)
CG6716-PA	606597	NP_039230	6e-55	CDHS;HUP2;PAX3;WS1	PAIRED DOMAIN GENE HuP2; HUP2	Craniofacial-deafness-hand syndrome, 122880 (3);Rhabdomyosarcoma, alveolar, 268220 (3);Waardenburg syndrome, type I, 193500 (3);Waardenburg syndrome, type III, 148820 (3)
CG6716-PB	606597	NP_039230	6e-55	CDHS;HUP2;PAX3;WS1	PAIRED DOMAIN GENE HuP2; HUP2	Craniofacial-deafness-hand syndrome, 122880 (3);Rhabdomyosarcoma, alveolar, 268220 (3);Waardenburg syndrome, type I, 193500 (3);Waardenburg syndrome, type III, 148820 (3)
CG18402-PA	164761	NP_065681	6e-55	MEN2A;RET	RET PROTOONCOGENE	Central hypoventilation syndrome, congenital, 209880 (3);Hirschsprung disease, 142623 (3);Medullary thyroid carcinoma, 155240 (3);Multiple endocrine neoplasia IIA, 171400 (3);Multiple endocrine neoplasia IIB, 162300 (3);Pheochromocytoma, 171300 (3)
CG18402-PA	164761	NP_066124	6e-55	MEN2A;RET	RET PROTOONCOGENE	Central hypoventilation syndrome, congenital, 209880 (3);Hirschsprung disease, 142623 (3);Medullary thyroid carcinoma, 155240 (3);Multiple endocrine neoplasia IIA, 171400 (3);Multiple endocrine neoplasia IIB, 162300 (3);Pheochromocytoma, 171300 (3)
CG4007-PA	134934	NP_075254	6e-55	ACH;FGFR3		Achondroplasia, 100800 (3);Bladder cancer, 109800 (3);CATSHL syndrome, 610474 (3);Cervical cancer, somatic, 603956 (3);Colorectal cancer, somatic, 109800 (3);Crouzon syndrome with acanthosis nigricans (3);Hypochondroplasia, 146000 (3);LADD syndrome, 149730 (3);Muenke syndrome, 602849 (3);Thanatophoric dysplasia, types I and II, 187600 (3)
CG13232-PA	600374	NP_149017	6e-55	BBS4		Bardet-Biedl syndrome 4, 209900 (3)
CG3322-PA	608400	NP_996816	6e-55	USH2A	USH2; US2;USHERIN	Retinitis pigmentosa, AR, without hearing loss, 268000 (3);Usher syndrome, type 2A, 276901 (3)
CG4007-PA	134934	NP_000133	7e-55	ACH;FGFR3		Achondroplasia, 100800 (3);Bladder cancer, 109800 (3);CATSHL syndrome, 610474 (3);Cervical cancer, somatic, 603956 (3);Colorectal cancer, somatic, 109800 (3);Crouzon syndrome with acanthosis nigricans (3);Hypochondroplasia, 146000 (3);LADD syndrome, 149730 (3);Muenke syndrome, 602849 (3);Thanatophoric dysplasia, types I and II, 187600 (3)
CG2822-PA	176260	NP_000208	7e-55	AEMK;EA1;KCNA1	1; KCNA1;KV1.1;MK1, MOUSE, HOMOLOG OF	Episodic ataxia/myokymia syndrome, 160120 (3)
CG2822-PB	176260	NP_000208	7e-55	AEMK;EA1;KCNA1	1; KCNA1;KV1.1;MK1, MOUSE, HOMOLOG OF	Episodic ataxia/myokymia syndrome, 160120 (3)
CG5367-PA	601105	NP_000387	7e-55	CTSK		Pycnodysostosis, 265800 (3)
CG6716-PA	606597	NP_000429	7e-55	CDHS;HUP2;PAX3;WS1	PAIRED DOMAIN GENE HuP2; HUP2	Craniofacial-deafness-hand syndrome, 122880 (3);Rhabdomyosarcoma, alveolar, 268220 (3);Waardenburg syndrome, type I, 193500 (3);Waardenburg syndrome, type III, 148820 (3)
CG6716-PB	606597	NP_000429	7e-55	CDHS;HUP2;PAX3;WS1	PAIRED DOMAIN GENE HuP2; HUP2	Craniofacial-deafness-hand syndrome, 122880 (3);Rhabdomyosarcoma, alveolar, 268220 (3);Waardenburg syndrome, type I, 193500 (3);Waardenburg syndrome, type III, 148820 (3)
CG5860-PA	179820	NP_000528	7e-55	REN		Renal tubular dysgenesis, 267430 (3);[Hyperproreninemia] (3)
CG1847-PB	604392	NP_055151	7e-55	AIPL1;LCA4		Cone-rod dystrophy (3);Leber congenital amaurosis, 604393 (3);Retinitis pigmentosa, juvenile (3)
CG15831-PA	602666	NP_057323	7e-55	MYO15A;DFNB3	MYOSIN XV; MYO15	Deafness, autosomal recessive 3, 600316 (3)
CG14396-PA	136350	NP_075599	7e-55	FGFR1;FLT2;KAL2	FMS-LIKE GENE; FLG;FMS-LIKE TYROSINE KINASE 2; FLT2	Jackson-Weiss syndrome, 123150 (3);Kallmann syndrome 2, 147950 (3);Pfeiffer syndrome, 101600 (3)
CG14396-PB	136350	NP_075599	7e-55	FGFR1;FLT2;KAL2	FMS-LIKE GENE; FLG;FMS-LIKE TYROSINE KINASE 2; FLT2	Jackson-Weiss syndrome, 123150 (3);Kallmann syndrome 2, 147950 (3);Pfeiffer syndrome, 101600 (3)
CG14396-PC	136350	NP_075599	7e-55	FGFR1;FLT2;KAL2	FMS-LIKE GENE; FLG;FMS-LIKE TYROSINE KINASE 2; FLT2	Jackson-Weiss syndrome, 123150 (3);Kallmann syndrome 2, 147950 (3);Pfeiffer syndrome, 101600 (3)
CG14396-PD	136350	NP_075599	7e-55	FGFR1;FLT2;KAL2	FMS-LIKE GENE; FLG;FMS-LIKE TYROSINE KINASE 2; FLT2	Jackson-Weiss syndrome, 123150 (3);Kallmann syndrome 2, 147950 (3);Pfeiffer syndrome, 101600 (3)
CG14396-PE	136350	NP_075599	7e-55	FGFR1;FLT2;KAL2	FMS-LIKE GENE; FLG;FMS-LIKE TYROSINE KINASE 2; FLT2	Jackson-Weiss syndrome, 123150 (3);Kallmann syndrome 2, 147950 (3);Pfeiffer syndrome, 101600 (3)
CG7100-PB	605514	NP_149045	7e-55	DFNB23;PCDH15		Deafness, autosomal recessive 23, 609533 (3);Usher syndrome, type 1F, 602083 (3)
CG7100-PH	605514	NP_149045	7e-55	DFNB23;PCDH15		Deafness, autosomal recessive 23, 609533 (3);Usher syndrome, type 1F, 602083 (3)
CG6246-PA	300039	NP_000298	8e-55	DFN3;POU3F4	BRAIN-4	Deafness, X-linked 3, conductive, with stapes fixation, 304400 (3)
CG3362-PA	606224	NP_001002009	8e-55	NT5C3;UMPH1;PSN1	NUCLEOTIDASE, 5-PRIME, CYTOSOLIC III;PYRIMIDINE 5-PRIME-NUCLEOTIDASE 1; P5N1;URIDINE 5-PRIME MONOPHOSPHATE HYDROLASE 1; UMPH1	Anemia, hemolytic, due to UMPH1 deficiency, 266120 (3)
CG4898-PB	191010	NP_001018006	8e-55	CMH3;TPM1	TROPOMYOSIN, SKELETAL MUSCLE ALPHA; TMSA	Cardiomyopathy, familial hypertrophic, 3, 115196 (3)
CG4898-PD	191010	NP_001018006	8e-55	CMH3;TPM1	TROPOMYOSIN, SKELETAL MUSCLE ALPHA; TMSA	Cardiomyopathy, familial hypertrophic, 3, 115196 (3)
CG4898-PG	191010	NP_001018006	8e-55	CMH3;TPM1	TROPOMYOSIN, SKELETAL MUSCLE ALPHA; TMSA	Cardiomyopathy, familial hypertrophic, 3, 115196 (3)
CG4898-PJ	191010	NP_001018006	8e-55	CMH3;TPM1	TROPOMYOSIN, SKELETAL MUSCLE ALPHA; TMSA	Cardiomyopathy, familial hypertrophic, 3, 115196 (3)
CG3362-PA	606224	NP_057573	8e-55	NT5C3;UMPH1;PSN1	NUCLEOTIDASE, 5-PRIME, CYTOSOLIC III;PYRIMIDINE 5-PRIME-NUCLEOTIDASE 1; P5N1;URIDINE 5-PRIME MONOPHOSPHATE HYDROLASE 1; UMPH1	Anemia, hemolytic, due to UMPH1 deficiency, 266120 (3)
CG5932-PA	278000	NP_000226	9e-55	LIPA	ACID CHOLESTERYL ESTER HYDROLASE DEFICIENCY, TYPE 2;ACID CHOLESTERYL ESTER HYDROLASE DEFICIENCY, WOLMAN TYPE;CHOLESTEROL ESTER HYDROLASE DEFICIENCY;CHOLESTEROL ESTER STORAGE DISEASE; CESD;CHOLESTERYL ESTER STORAGE DISEASE;LAL DEFICIENCY;LIPA DEFICIENCY;LYSOSOMAL ACID LIPASE DEFICIENCY	Cholesteryl ester storage disease (3);Wolman disease (3)
CG11198-PA	608786	NP_000911	9e-55	PC		Pyruvate carboxylase deficiency, 266150 (3)
CG11198-PB	608786	NP_000911	9e-55	PC		Pyruvate carboxylase deficiency, 266150 (3)
CG15831-PA	600970	NP_004990	9e-55	DFNA22;DFNB37;MYO6		Deafness, autosomal dominant 22, 606346 (3);Deafness, autosomal recessive 37, 607821 (3);Deafness, sensorineural, with hypertrophic cardiomyopathy, 606346 (3)
CG10240-PA	124010	NP_059488	9e-55		CYP3; CYP3A;CYTOCHROME P450PCN1;GLUCOCORTICOID-INDUCIBLE P450; P450C3;NIFEDIPINE OXIDASE;P450, FAMILY III;P450-III, STEROID-INDUCIBLE	
CG11198-PA	608786	NP_071504	9e-55	PC		Pyruvate carboxylase deficiency, 266150 (3)
CG11198-PB	608786	NP_071504	9e-55	PC		Pyruvate carboxylase deficiency, 266150 (3)
CG6446-PA	607292	NP_071762	9e-55	CORD10;RP35;SEMA4A;SEMB	SEMAPHORIN B; SEMAB; SEMB	Cone-rod dystrophy 10, 610283 (3);Retinitis pigmentosa 35, 610282 (3)
CG5939-PC	160760	NP_000248	1e-54	CMD1S;CMH1;MPD1;MYH7	MYOSIN, CARDIAC, HEAVY CHAIN, BETA; MYHCB	Cardiomyopathy, dilated, 1S (3);Cardiomyopathy, familial hypertrophic, 1, 192600 (3);Myopathy, Laing distal, 160500 (3);Myopathy, myosin storage, 608358 (3)
CG5939-PD	160760	NP_000248	1e-54	CMD1S;CMH1;MPD1;MYH7	MYOSIN, CARDIAC, HEAVY CHAIN, BETA; MYHCB	Cardiomyopathy, dilated, 1S (3);Cardiomyopathy, familial hypertrophic, 1, 192600 (3);Myopathy, Laing distal, 160500 (3);Myopathy, myosin storage, 608358 (3)
CG5772-PA	601107	NP_000383	1e-54	ABCC2;CMOAT	MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 2; MRP2;MULTISPECIFIC ORGANIC ANION TRANSPORTER, CANALICULAR; CMOAT	Dubin-Johnson syndrome, 237500 (3)
CG18085-PA	600456	NP_001018074	1e-54	NTRK2;TRKB	TYROSINE KINASE RECEPTOR B; TRKB	Obesity, hyperphagia, and developmental delay (3)
CG15831-PA	160745	NP_001035202	1e-54	AAT4;FAA4;MYH11	MYOSIN, SMOOTH MUSCLE, HEAVY CHAIN 11; SMHC;SMOOTH MUSCLE MYOSIN HEAVY CHAIN; SMMHC	Aortic aneurysm, familial thoracic 4, 132900 (3)
CG15831-PA	160745	NP_001035203	1e-54	AAT4;FAA4;MYH11	MYOSIN, SMOOTH MUSCLE, HEAVY CHAIN 11; SMHC;SMOOTH MUSCLE MYOSIN HEAVY CHAIN; SMMHC	Aortic aneurysm, familial thoracic 4, 132900 (3)
CG15831-PA	160775	NP_002464	1e-54	DFNA17;FTNS;MHA;MYH9	CELLULAR MYOSIN HEAVY CHAIN, TYPE A;MYOSIN, HEAVY CHAIN, NONMUSCLE, TYPE A; NMMHCA	Deafness, autosomal dominant 17, 603622 (3);Epstein syndrome, 153650 (3);Fechtner syndrome, 153640 (3);Macrothrombocytopenia and progressive sensorineural deafness, 600208 (3);May-Hegglin anomaly, 155100 (3);Sebastian syndrome, 605249 (3)
CG15831-PA	160745	NP_002465	1e-54	AAT4;FAA4;MYH11	MYOSIN, SMOOTH MUSCLE, HEAVY CHAIN 11; SMHC;SMOOTH MUSCLE MYOSIN HEAVY CHAIN; SMMHC	Aortic aneurysm, familial thoracic 4, 132900 (3)
CG8103-PA	603615	NP_003570	1e-54	HR54;HRAD54;RAD54L	HR54;HRAD54	Breast cancer, invasive intraductal (3);Colon adenocarcinoma (3);Lymphoma, non-Hodgkin (3)
CG18085-PA	600456	NP_006171	1e-54	NTRK2;TRKB	TYROSINE KINASE RECEPTOR B; TRKB	Obesity, hyperphagia, and developmental delay (3)
CG12066-PB	605437	NP_006246	1e-54	PKCL;PRKCH;PRKCL	PKCL; PRKCL	{Cerebral infarction, susceptibility to}, 601367 (3)
CG10245-PA	124010	NP_059488	1e-54		CYP3; CYP3A;CYTOCHROME P450PCN1;GLUCOCORTICOID-INDUCIBLE P450; P450C3;NIFEDIPINE OXIDASE;P450, FAMILY III;P450-III, STEROID-INDUCIBLE	
CG4373-PA	124010	NP_059488	1e-54		CYP3; CYP3A;CYTOCHROME P450PCN1;GLUCOCORTICOID-INDUCIBLE P450; P450C3;NIFEDIPINE OXIDASE;P450, FAMILY III;P450-III, STEROID-INDUCIBLE	
CG6634-PA	601719	NP_060958	1e-54	TBX4		Small patella syndrome, 147891 (3)
CG5772-PA	601439	NP_064693	1e-54	ABCC9;CMD1O;SUR2	SULFONYLUREA RECEPTOR 2; SUR2	Cardiomyopathy, dilated, 1O, 608569 (3)
CG15831-PA	160745	NP_074035	1e-54	AAT4;FAA4;MYH11	MYOSIN, SMOOTH MUSCLE, HEAVY CHAIN 11; SMHC;SMOOTH MUSCLE MYOSIN HEAVY CHAIN; SMMHC	Aortic aneurysm, familial thoracic 4, 132900 (3)
CG13691-PA	608132	NP_653197	1e-54	BBS8;TTC8	BBS8 GENE	Bardet-Biedl syndrome 8, 209900 (3)
CG10023-PA	176947	NP_997402	1e-54	SRK;STD;ZAP70	PROTEIN TYROSINE KINASE ZAP70;SYK-RELATED TYROSINE KINASE; SRK;ZETA-ASSOCIATED PROTEIN, 70-KD	Selective T-cell defect (3)
CG10023-PB	176947	NP_997402	1e-54	SRK;STD;ZAP70	PROTEIN TYROSINE KINASE ZAP70;SYK-RELATED TYROSINE KINASE; SRK;ZETA-ASSOCIATED PROTEIN, 70-KD	Selective T-cell defect (3)
CG10023-PC	176947	NP_997402	1e-54	SRK;STD;ZAP70	PROTEIN TYROSINE KINASE ZAP70;SYK-RELATED TYROSINE KINASE; SRK;ZETA-ASSOCIATED PROTEIN, 70-KD	Selective T-cell defect (3)
CG4372-PA	208400	NP_000018	2e-54	AGA	AGA DEFICIENCY;AGU;ASPARTYLGLUCOSAMINIDASE DEFICIENCY;ASPARTYLGLYCOSAMINURIA;GLYCOASPARAGINASE;GLYCOSYLASPARAGINASE DEFICIENCY	Aspartylglucosaminuria (3)
CG1464-PA	167409	NP_000269	2e-54	PAX2		Optic nerve coloboma with renal disease, 120330 (3);Renal hypoplasia, isolated (3)
CG7362-PA	609712	NP_000289	2e-54	PK1;PKLR	PKRL;PYRUVATE KINASE 1; PK1;PYRUVATE KINASE, LIVER TYPE; PKL;PYRUVATE KINASE, RED CELL TYPE; PKR	Pyruvate kinase deficiency, 266200 (3)
CG5594-PC	600968	NP_000330	2e-54	NCCT;SLC12A3;TSC	SLC12A3;SODIUM-CHLORIDE COTRANSPORTER, THIAZIDE-SENSITIVE; NCCT;THIAZIDE-SENSITIVE NA-CL COTRANSPORTER; TSC	Gitelman syndrome, 263800 (3)
